src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
172.20.154.248,49.44.116.238,6,66,1741863578.954829,76,1614.262326,0.3
49.44.116.238,172.20.154.248,6,66,1741863579.000580,4,627.684664,
172.20.154.248,49.44.116.238,6,66,1741863579.000668,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,325,1741863579.012810,373,1625.965925,
172.20.144.1,224.0.0.251,17,184,1741863581.432491,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1741863581.432491,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863581.459503,373,1625.965925,
172.20.144.1,224.0.0.251,17,184,1741863581.492046,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863581.538632,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863581.555166,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863581.597391,373,1625.965925,
172.20.144.1,239.255.255.250,17,143,1741863581.621572,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863581.626834,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863581.658363,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863581.659798,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863581.665687,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1741863581.708066,373,1625.965925,
172.20.144.1,224.0.0.251,17,184,1741863581.708558,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863581.714191,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863581.766641,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863581.816250,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863581.825379,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863581.855696,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863581.897407,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863581.899297,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863581.953234,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1741863581.973712,373,1625.965925,
172.20.144.1,224.0.0.251,17,184,1741863581.974527,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.000334,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863582.017876,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.067408,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.114734,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.155994,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.198528,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1741863582.243905,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.244610,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.293202,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863582.318767,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863582.333122,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.334380,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.364098,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.394192,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.428240,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1741863582.448322,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1741863582.449416,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.467870,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.507382,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.537546,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.567996,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.606821,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.649194,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863582.682091,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741863582.722503,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863582.771540,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863583.196752,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1741863583.241104,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863583.274354,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741863583.579444,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741863583.584180,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1741863584.064020,76,1614.262326,0.3
172.20.144.1,239.255.255.250,17,698,1741863584.163572,373,1625.965925,
185.125.190.57,172.20.154.248,17,90,1741863584.345347,40,1427.275448,
172.20.144.1,224.0.0.251,17,325,1741863592.206051,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741863592.325770,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741863592.329377,373,1625.965925,
172.20.144.1,239.255.255.250,17,143,1741863592.372487,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863592.654707,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863592.899775,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1741863593.198530,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.476852,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.508910,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.540795,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.571681,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.602858,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.634331,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.667192,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.699300,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.731017,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.760807,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.794061,373,1625.965925,
