src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741864128,76,1614.262326,0.3
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864129,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864130,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864132,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864132,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864133,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864134,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864135,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864135,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741864135,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864136,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864137,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864138,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741864148,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864152,373,1625.965925,
172.20.154.248,185.125.190.58,17,90,1970-01-01 00:00:01.741864158,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741864160,373,1625.965925,
172.20.154.248,91.189.91.157,17,90,1970-01-01 00:00:01.741864168,76,1614.262326,0.3
172.20.154.248,185.125.190.56,17,90,1970-01-01 00:00:01.741864179,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,296,1970-01-01 00:00:01.741864183,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864198,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1970-01-01 00:00:01.741864200,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864201,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1970-01-01 00:00:01.741864202,373,1625.965925,
172.20.144.1,224.0.0.251,17,393,1970-01-01 00:00:01.741864202,373,1625.965925,
172.20.144.1,224.0.0.251,17,393,1970-01-01 00:00:01.741864203,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864204,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1970-01-01 00:00:01.741864204,373,1625.965925,
172.20.144.1,224.0.0.251,17,184,1970-01-01 00:00:01.741864204,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1970-01-01 00:00:01.741864205,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1970-01-01 00:00:01.741864205,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741864205,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1970-01-01 00:00:01.741864205,373,1625.965925,
172.20.144.1,239.255.255.250,17,143,1970-01-01 00:00:01.741864206,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864206,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741864206,373,1625.965925,
172.20.154.248,49.44.116.238,6,74,1970-01-01 00:00:01.741864206,76,1614.262326,0.3
49.44.116.238,172.20.154.248,6,74,1970-01-01 00:00:01.741864206,4,627.684664,
172.20.154.248,49.44.116.238,6,66,1970-01-01 00:00:01.741864206,76,1614.262326,0.3
49.44.116.238,172.20.154.248,6,66,1970-01-01 00:00:01.741864206,4,627.684664,
172.20.144.1,224.0.0.251,17,82,1970-01-01 00:00:01.741864206,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741864207,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864207,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864208,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864208,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741864208,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1970-01-01 00:00:01.741864208,373,1625.965925,
172.20.144.1,239.255.255.250,17,143,1970-01-01 00:00:01.741864209,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741864210,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864210,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864211,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864212,373,1625.965925,
172.20.144.1,239.255.255.250,17,143,1970-01-01 00:00:01.741864212,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864214,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864216,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864217,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741864217,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864218,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864219,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864220,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864220,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864221,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741864222,373,1625.965925,
172.20.154.248,185.125.190.56,17,90,1970-01-01 00:00:01.741864223,76,1614.262326,0.3
185.125.190.56,172.20.154.248,17,90,1970-01-01 00:00:01.741864224,2,40.252079,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864243,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741864252,373,1625.965925,
172.20.154.248,185.125.190.56,17,90,1970-01-01 00:00:01.741864264,76,1614.262326,0.3
185.125.190.56,172.20.154.248,17,90,1970-01-01 00:00:01.741864264,2,40.252079,
